0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Ncald	Man1a	Sla	Dbn1	Sla	Cdkn1a	C3ar1	Mylk	Dennd4a	S100a6	Ifi207	Birc3	Pawr	Sept4	Sptbn1	Zfp366
Prg4	Col16a1	Wdr81	Tln2	Tbxas1	Adam15	Ccdc3	Abhd12	Epas1	Dock6	Tcirg1	Mxi1	Abcb1b	Gdnf	Hmgb2	Trim30a
Pdlim4	Tnxb	Sh3bp2	Id3	Mctp1	Adgrf5	Ccn4	Ntn4	Ncald	Lhfpl2	Rnf149	Abhd12	Ctss	Casz1	Emcn	Prkch
Ror1	Syne1	B4galt6	Nedd9	Dock2	Sox7	Adamts15	Ptprz1	Bdnf	Apobec1	Gpr137b	Ciita	Hs6st2	Ecm2	Rgs16	Ifngr1
Fbxo30	Arl13b	Clec4e	Pmepa1	Entpd7	Tle4	Dnaja4	Slc22a4	Frmd4b	BC028528	Plin2	Ptprc	Met	Sdc2	Mt2	F10
Rif1	Fgfr1	Fnip2	Hbegf	Chd2	Pawr	Gdnf	Jcad	Tjp1	Rasl11b	Slc16a6	Mfsd1	Crybg1	Unc13b	Lama4	Shank3
Pamr1	Dusp10	March1	Ntng1	Ly86	Slc1a1	Fbln2	Arhgap20	Ccn1	Afdn	Etv3	Slfn2	Pax7	Fign	Wee1	Calcrl
Dpt	Peg3	Slamf7	Col6a2	Mtmr10	Cbx4	Tcea3	Col4a2	Itpkc	Ptprk	Bcl2l11	Stk17b	Afdn	Ldlr	Csmd1	Unc13b
Nr4a2	Fbxo30	Camk1d	Dact1	Slamf7	Apobec3	Col11a1	Ckap2	Cpm	Axl	Pou2f2	Snrk	Ncald	Jam2	Sorbs2	Notch1
Gch1	Fbn1	Lpin2	Dusp10	Rbm47	Eng	Grik3	Adgre5	Dock9	Plcb4	Plbd1	Dusp5	Zfp711	Ampd3	Adamts4	Ctnnbip1
Inhba	Bdnf	Gpr137b	Pthlh	Smcr8	Gbp2	Neb	Spsb1	Gramd3	Flnb	Sh3bp2	Myo1g	Il17ra	Ralgps2	Dag1	Rbpms
Smoc2	Abca8b	Atp6v1b2	Rin2	Wdfy4	Dach1	Cdon	Cnksr2	Csrp2	Smarca1	Cbl	Vps37b	Lama5	Col19a1	Abcg2	Grasp
Stk17b	Hlf	Ell2	Sfrp1	Ell2	Tek	Fbln5	Arl13b	Dusp14	Scarf2	Glipr1	Ptk2b	Dag1	Ncam1	Arl13b	Arhgef3
4930523C07Rik	Plagl1	Itpkb	Sox9	Tcirg1	Map3k1	B4galt5	Serping1	Slc7a5	Mrc2	Cpeb4	Pik3cg	Asb5	Heg1	Cpxm2	Rflnb
Nuak1	Myo1g	Mindy1	Ncald	Ifitm10	Ecm2	Adamts4	Samd4	Smc4	Col4a1	Atp6v0a1	Ccdc88c	Adarb1	Tbc1d4	Sorbs1	Samd5
